award_id,source_award_id,notice_id,procedure_id,lot_id,award_date,award_status,award_value,currency_code,source_id,source_file_id,source_record_id,collected_at
awd_00199,RES-0002,not_0077,pro_0072,lot_00197,2000-01-01,selec-w,380000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0002,2026-08-19
awd_00200,RES-0003,not_0077,pro_0072,lot_00198,2000-01-01,selec-w,75000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0003,2026-08-19
awd_00201,RES-0004,not_0077,pro_0072,lot_00199,2000-01-01,selec-w,333000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0004,2026-08-19
awd_00202,RES-0005,not_0077,pro_0072,lot_00200,2000-01-01,selec-w,123000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0005,2026-08-19
awd_00203,RES-0006,not_0077,pro_0072,lot_00201,2000-01-01,selec-w,58000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0006,2026-08-19
awd_00204,RES-0007,not_0077,pro_0072,lot_00202,2000-01-01,selec-w,316000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0007,2026-08-19
awd_00205,RES-0008,not_0077,pro_0072,lot_00203,2000-01-01,selec-w,325000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0008,2026-08-19
awd_00206,RES-0009,not_0077,pro_0072,lot_00204,2000-01-01,selec-w,12900,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0009,2026-08-19
awd_00207,RES-0010,not_0077,pro_0072,lot_00205,2000-01-01,selec-w,115600,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0010,2026-08-19
awd_00208,RES-0011,not_0077,pro_0072,lot_00206,2000-01-01,selec-w,249600,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0011,2026-08-19
awd_00209,RES-0012,not_0077,pro_0072,lot_00207,2000-01-01,selec-w,149600,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0012,2026-08-19
awd_00210,RES-0013,not_0077,pro_0072,lot_00208,2000-01-01,selec-w,672000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0013,2026-08-19
awd_00211,RES-0001,not_0078,pro_0073,lot_00209,1970-01-01,selec-w,,,src_ted_opendata,file_ted_0078,lot_result:RES-0001,2026-08-19
awd_00212,RES-0002,not_0078,pro_0073,lot_00210,1970-01-01,selec-w,,,src_ted_opendata,file_ted_0078,lot_result:RES-0002,2026-08-19
awd_00213,RES-0000,not_0079,pro_0074,lot_00211,2000-01-01,selec-w,2.07,EUR,src_ted_opendata,file_ted_0079,lot_result:RES-0000,2026-08-19
awd_00214,RES-0000,not_0080,pro_0075,lot_00212,2000-01-01,selec-w,,,src_ted_opendata,file_ted_0080,lot_result:RES-0000,2026-08-19
awd_00215,RES-0001,not_0081,pro_0076,lot_00213,2024-12-30,selec-w,88500,EUR,src_ted_opendata,file_ted_0081,lot_result:RES-0001,2026-08-19
awd_00216,RES-0001,not_0082,pro_0077,lot_00214,2000-01-01,selec-w,224675,EUR,src_ted_opendata,file_ted_0082,lot_result:RES-0001,2026-08-19
awd_00217,RES-0003,not_0082,pro_0077,lot_00215,2000-01-01,selec-w,224675,EUR,src_ted_opendata,file_ted_0082,lot_result:RES-0003,2026-08-19
awd_00218,RES-0001,not_0083,pro_0078,lot_00216,2000-01-01,selec-w,4883411.7,EUR,src_ted_opendata,file_ted_0083,lot_result:RES-0001,2026-08-19
