source_file_id,source_id,original_file_name,stored_file_path,file_format,mime_type,file_size_bytes,sha256,downloaded_at,record_count,column_count,encoding,delimiter,license_status
file_ted_0075,src_ted_opendata,146-2025.xml,raw/ted/xml/146-2025.xml,xml,application/xml,29343,130d06a342514d40378ff80a7a7122a0d56f14498735244ecac8b5d5b5dda54f,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0076,src_ted_opendata,148-2025.xml,raw/ted/xml/148-2025.xml,xml,application/xml,24138,8cf45b432a3629f02bf2e5b28647c6d472a293db3ce4d389a5a3d12a1b4d7e04,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0077,src_ted_opendata,149-2025.xml,raw/ted/xml/149-2025.xml,xml,application/xml,235376,6486aa209b2f33b46cde5f62558488c026f2a34256be690ff4cdbfbee19abb0d,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0078,src_ted_opendata,150-2025.xml,raw/ted/xml/150-2025.xml,xml,application/xml,29920,f58a10ae2a5816468679ab5b3d90c5bc7d42cacf69ceb45228abee968d7d3a09,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0079,src_ted_opendata,152-2025.xml,raw/ted/xml/152-2025.xml,xml,application/xml,22107,1ff23dc85b6cc509a67262f73fb6db618c7ca42d9432b356267b83dcb0b40d86,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0080,src_ted_opendata,153-2025.xml,raw/ted/xml/153-2025.xml,xml,application/xml,29496,3f526fb3c0d2bbcee4f5cc74f152aceda4fe569742720381f30ffa71b4ab0782,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0081,src_ted_opendata,155-2025.xml,raw/ted/xml/155-2025.xml,xml,application/xml,19619,2bf6c05b633245089419cfb7b2da8e23c2eebed7d3b9520ea1ac40b653b2cf9f,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0082,src_ted_opendata,156-2025.xml,raw/ted/xml/156-2025.xml,xml,application/xml,36006,77cfe0b3d37b51d5448d7ba434fa129f70a639df0d6679c14764853983b22a31,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0083,src_ted_opendata,157-2025.xml,raw/ted/xml/157-2025.xml,xml,application/xml,20647,c8cc9c7c70d7d48f1e365f71f5a5a0f691e83261939f7e9d163d858a8c19f9fe,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0084,src_ted_opendata,159-2025.xml,raw/ted/xml/159-2025.xml,xml,application/xml,21917,91d9c46d5750006cc62f01e65ba9db96fc963cb6b127156c7681bd63b84aedc1,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0085,src_ted_opendata,160-2025.xml,raw/ted/xml/160-2025.xml,xml,application/xml,21326,f0c24590e76119b5e98cf66ddad316e0078e94623ed93ea4b6ea387a4ad8f404,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0086,src_ted_opendata,163-2025.xml,raw/ted/xml/163-2025.xml,xml,application/xml,19448,17ef5176837cc13be57089dbc90c633e69d0b1dfce7f61feac1688eb63453b62,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0087,src_ted_opendata,164-2025.xml,raw/ted/xml/164-2025.xml,xml,application/xml,13532,3f56d65c6019655470b20a1cc21e91e8e329384c981819dc25524863fbdf067f,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0088,src_ted_opendata,167-2025.xml,raw/ted/xml/167-2025.xml,xml,application/xml,12482,fd81cc34b76653c3fc7e25a95dab7404b59a66e440c71f2d860ae636c8e6c9e3,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0089,src_ted_opendata,168-2025.xml,raw/ted/xml/168-2025.xml,xml,application/xml,16746,6411613c6143bb777f701e3cb3252527d8e2ef14c21e1fce37ae9856524526f3,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0090,src_ted_opendata,170-2025.xml,raw/ted/xml/170-2025.xml,xml,application/xml,35168,9c4efef8c7e020a77c0b81effc703e20c5a64aa5071cf88d07eb5d42076fda31,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0091,src_ted_opendata,172-2025.xml,raw/ted/xml/172-2025.xml,xml,application/xml,20493,6e74fd4f426a50e6d6c6b4c539befed17134cdd904990f063faca56985c4db98,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0092,src_ted_opendata,175-2025.xml,raw/ted/xml/175-2025.xml,xml,application/xml,18971,44c491fc2e9cb9aa30c23f6790e0cdb72ca173ef402f44c385107ee047267a87,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0093,src_ted_opendata,176-2025.xml,raw/ted/xml/176-2025.xml,xml,application/xml,23503,3f7f93d1f1cac0dc5f2a1ed716d1afd45bb8aa3d07d28a311e51be21c255ec79,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0094,src_ted_opendata,177-2025.xml,raw/ted/xml/177-2025.xml,xml,application/xml,20338,506c83f3f693d596614b2db851132c1235e1b4c40c367bf63fd3b17f0a65f266,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0095,src_ted_opendata,178-2025.xml,raw/ted/xml/178-2025.xml,xml,application/xml,17545,8cbfc34ef9765faa50654a641ac278f2b5fcc798f9141583380e57548b311d93,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0096,src_ted_opendata,179-2025.xml,raw/ted/xml/179-2025.xml,xml,application/xml,36527,6ce20e1689554181c62065ccdf0ad643091dcb044f626c1b0d58fe3cded0518c,2026-08-19,1,,utf-8,,open_with_attribution
file_ted_0097,src_ted_opendata,181-2025.xml,raw/ted/xml/181-2025.xml,xml,application/xml,12380,568d8a92375c1f1c2fa9c5feabd7d45f2053aea80add8c9f4ac1f36eaede474c,2026-08-19,1,,utf-8,,open_with_attribution
